Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Administrative & Mgmt (Unrep),52863.8038235294,224191.61,23.57974226757612
Administrative Secretarial,28603.667124999996,100886.63349999997,28.352286257029284
Administrative-DPW/PUC,40348.422709497216,152753.98094040964,26.41399095532404
Administrative-Labor & Trades,38446.65483333334,155479.0077575758,24.727875092488173
Agriculture & Horticulture,24116.294685299665,77243.46198437239,31.221146833344655
Airport Operation,30319.68461407547,104231.46332729483,29.08880259971917
Appraisal & Taxation,26784.925999214753,88826.81572928937,30.154099051400312
"Budget, Admn & Stats Analysis",26043.78704789889,88631.72800743171,29.384270885156543
"Clerical, Secretarial & Steno",19807.19032205268,61187.691474736755,32.371200554658444
Community Development,27212.112734018247,91449.04221144094,29.75658582743889
Computer Operatns & Repro Svcs,18804.284008345614,60060.07234413354,31.309126470245335
Construction Inspection,31492.358887966016,113604.89362218513,27.72095275464092
Construction Project Mgmt,35984.67075132274,139761.67599735453,25.747166019963778
Correction & Detention,30623.050744288357,129215.13889704832,23.699274717869674
Dietary & Food,18497.91070517931,57872.00542629483,31.96348660966666
Emergency Services,24435.31570281124,84082.52638554217,29.06111026061278
Energy & Environment,30938.11934458216,107500.41001033054,28.779536135358995
Fire Services,36431.39578388601,175765.75682579426,20.727243145542882
Health & Sanitation Inspection,34307.58051861705,121847.68147015374,28.156120908234595
Hospital Administration,25455.34239567809,82047.3789567809,31.025174380143078
Housekeeping & Laundry,22972.767459445888,70192.15330079588,32.728398231352465
Human Services,25290.665704470113,84600.01022279875,29.89440029364744
Information Systems,31057.485996521245,112356.93879084582,27.641805064069285
Journeyman Trade,31378.193642959526,116178.71463184775,27.00855638004959
"Lab, Pharmacy & Med Techs",29076.992269551512,104054.24679175136,27.94407068050251
Legal & Court,37128.870378350184,140687.34077910334,26.39105279319135
Library,20452.060293329225,64596.85121146513,31.66107930923302
Management,39105.663308589275,138177.35111405034,28.301065980279077
Med Therapy & Auxiliary,24498.327809670533,81680.24903271729,29.992964149579965
Medical & Dental,32815.569141061416,137491.8794273743,23.867278036878673
Museum & Cultural Affairs,19448.17714214214,62983.42389789786,30.87824690774114
N,14255.25,54927.75,25.95272881193932
Nursing,22470.019664331267,93090.46796439037,24.137830817357862
Park & Zoo,16279.500641914192,49762.34163201324,32.71449877157956
"Payroll, Billing & Accounting",24697.86855967018,80787.81671768239,30.571278644623213
Personnel,21311.8583803728,71520.1025968048,29.798416957702905
Police Services,28978.533516060194,141779.57640307304,20.439145221929223
Port Operation,35567.81416666667,129689.37924999995,27.42538700729164
Probation & Parole,29051.133969214465,110292.41602441632,26.340101175028373
Professional Engineering,32241.799760762613,116493.70077304482,27.676861106487365
Property Administration,30783.665124999992,110261.11056249999,27.918878168337237
Protection & Apprehension,19861.55403806473,69952.67240250889,28.39284527084398
Pub Relations & Spec Assts,22147.31591135234,73639.08802917237,30.075489124170858
Public Health,31276.204591633494,110273.85517264271,28.362302689670226
Public Safety Inspection,34795.28689594356,129310.17846560846,26.90838981805115
Public Service Aide,4539.518869596623,12939.531417788934,35.08255997087969
Purchasing & Storekeeping,25178.262672111,83048.40948893571,30.31757360201513
Recreation,4757.96341187559,15416.396724787914,30.86300577764255
Revenue,23547.024998241897,75460.68622011249,31.204361075590008
SF Redevelopment Agency,23029.044499999996,75328.38419999999,30.571536539077922
SF Superior Court,28273.41388866145,93225.25631191157,30.32806238050418
Semi-Skilled & General Labor,20914.085464693446,67175.98496328408,31.133276983023496
Skilled Labor,27511.88491704621,96843.41553979622,28.408627229530797
Street Transit,28844.193730904262,94954.19339004769,30.376956194467
Sub-Professional Engineering,11245.661469220688,39156.01774459714,28.720135797702245
Supervisory-Labor & Trade,34858.0386539961,133433.83941471734,26.123836956872697
Y,37228.34,171787.59,21.67114632669333
