User name,User Location,URL
MTF Tobin,"Manhattanville, NY",http://www.nytimes.com/2015/12/31/upshot/thanks-obama-highest-earners-tax-rates-rose-sharply-in-2013.html
John M.,"Durham, NC",http://www.nytimes.com/2015/12/31/upshot/thanks-obama-highest-earners-tax-rates-rose-sharply-in-2013.html
Ross Salinger,Carlsbad Ca,http://www.nytimes.com/2015/12/31/upshot/thanks-obama-highest-earners-tax-rates-rose-sharply-in-2013.html
Zoomie,"Omaha, NE",http://cooking.nytimes.com/recipes/1016272
Judy,<br/>,http://www.nytimes.com/2015/12/31/upshot/thanks-obama-highest-earners-tax-rates-rose-sharply-in-2013.html
Jim,New York,http://www.nytimes.com/2015/12/31/us/politics/independents-could-be-decisive-in-both-new-hampshire-primaries.html
Cyn,"New Orleans, La",http://www.nytimes.com/2015/12/31/us/politics/independents-could-be-decisive-in-both-new-hampshire-primaries.html
Cyn,"New Orleans, La",http://www.nytimes.com/2015/12/31/us/politics/independents-could-be-decisive-in-both-new-hampshire-primaries.html
jcd,nyc,http://www.nytimes.com/2015/12/31/us/politics/independents-could-be-decisive-in-both-new-hampshire-primaries.html
Barbara DiFiore,Bronx,http://www.nytimes.com/2015/12/31/us/politics/independents-could-be-decisive-in-both-new-hampshire-primaries.html
Richard Luettgen,New Jersey,http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Ms. Skeptical,Alexandria,http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Susanna,South Carolina,http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Alex Cody,"Tampa Bay, FL",http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Alex Cody,"Tampa Bay, FL",http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Wayne,BC,http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Alex Cody,"Tampa Bay, FL",http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Mary,"Atlanta, GA",http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Jack Mahauff,"Miami, FL",http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
jb,ok,http://www.nytimes.com/2015/12/31/business/media/bill-cosby-charged-in-sexual-assault-case.html
Malone,"Tucson, AZ",http://krugman.blogs.nytimes.com/2016/01/09/stephanopoulizing-7/
fran soyer,ny,http://www.nytimes.com/2016/01/10/world/americas/el-chapo-mexican-drug-lord-interview-with-sean-penn.html
Bill Appledorf,British Columbia,http://www.nytimes.com/2016/01/10/opinion/sunday/myanmars-peace-prize-winner-and-crimes-against-humanity.html
Michael Barnes,"Albany, CA",http://www.nytimes.com/2016/01/10/world/americas/el-chapo-mexican-drug-lord-interview-with-sean-penn.html
Technic Ally,Toronto,http://www.nytimes.com/2016/01/10/world/americas/el-chapo-mexican-drug-lord-interview-with-sean-penn.html
Jerry,SE Georgia,http://www.nytimes.com/2016/01/10/world/americas/el-chapo-mexican-drug-lord-interview-with-sean-penn.html
True Door,Dallas,http://www.nytimes.com/2016/01/10/us/politics/for-republicans-mounting-fears-of-lasting-split.html
trk,"plano,tx",http://www.nytimes.com/2016/01/10/us/politics/for-republicans-mounting-fears-of-lasting-split.html
trk,"plano,tx",http://www.nytimes.com/2016/01/10/world/americas/el-chapo-mexican-drug-lord-interview-with-sean-penn.html
ck,chicago,http://www.nytimes.com/2016/01/10/opinion/sunday/scientists-give-up-your-emails.html
mark,Washington DC,http://www.nytimes.com/2016/01/11/us/law-on-ultrasounds-reignites-abortion-battle-in-north-carolina.html
TexasTrailerParkTrash,"Fredericksburg, TX",http://www.nytimes.com/2016/01/11/us/law-on-ultrasounds-reignites-abortion-battle-in-north-carolina.html
richiet,Brooklyn,http://www.nytimes.com/2016/01/11/us/law-on-ultrasounds-reignites-abortion-battle-in-north-carolina.html
Jwl,NYC,http://www.nytimes.com/2016/01/11/us/law-on-ultrasounds-reignites-abortion-battle-in-north-carolina.html
mark,Washington DC,http://www.nytimes.com/2016/01/11/us/law-on-ultrasounds-reignites-abortion-battle-in-north-carolina.html
mark,Washington DC,http://wordplay.blogs.nytimes.com/2016/01/10/eaten-away/
David Connell,Weston CT,http://www.nytimes.com/2016/01/11/sports/football/seahawks-pull-a-win-from-their-long-sleeves.html
Susan,Eastern WA,http://cooking.nytimes.com/recipes/1017437
Anita,<br/>,http://wordplay.blogs.nytimes.com/2016/01/10/eaten-away/
David Connell,Weston CT,http://www.nytimes.com/2016/01/11/us/law-on-ultrasounds-reignites-abortion-battle-in-north-carolina.html
unclesmrgol,"Culver City, CA",http://www.nytimes.com/2016/01/12/science/as-us-modernizes-nuclear-weapons-smaller-leaves-some-uneasy.html
Ross,"Burlington, VT",http://www.nytimes.com/2016/01/12/science/as-us-modernizes-nuclear-weapons-smaller-leaves-some-uneasy.html
global hoosier,"goshen, IN",http://opinionator.blogs.nytimes.com/2016/01/11/nothing-remains-david-bowies-vision-of-love/
Cherie,Salt Lake City,http://www.nytimes.com/2016/01/12/science/as-us-modernizes-nuclear-weapons-smaller-leaves-some-uneasy.html
Andy W,"Chicago, Il",http://www.nytimes.com/2016/01/12/science/as-us-modernizes-nuclear-weapons-smaller-leaves-some-uneasy.html
AW,California,http://www.nytimes.com/2016/01/12/science/as-us-modernizes-nuclear-weapons-smaller-leaves-some-uneasy.html
