Team1,Team1,Score1,Team2,Score2
Red,Sox,2,Mets,3
Red,Sox,7,Yankees,8
Red,Sox,4,Yankees,2
Red,Sox,4,Rays,5
Red,Sox,9,Giants,5
Red,Sox,5,Yankees,9
Red,Sox,4,Mets,2
Red,Sox,10,Yankees,4
Red,Sox,6,Yankees,8
Red,Sox,2,Yankees,4
Red,Sox,8,Yankees,4
Red,Sox,4,Rays,13
Red,Sox,2,Yankees,6
Red,Sox,6,Yankees,8
Red,Sox,7,Yankees,4
Red,Sox,4,Yankees,3
Red,Sox,1,Yankees,4
Red,Sox,2,Yankees,1
Red,Sox,5,Yankees,1
Red,Sox,4,Angels,5
Red,Sox,7,Angels,5
Red,Sox,0,Yankees,1
Red,Sox,6,Yankees,5
Red,Sox,4,Yankees,3
Red,Sox,3,Yankees,4
Red,Sox,2,Mets,3
Red,Sox,7,Yankees,8
Red,Sox,4,Yankees,2
Red,Sox,4,Rays,5
Red,Sox,3,Yankees,4
Red,Sox,9,Yankees,7
Red,Sox,9,Angels,8
Red,Sox,3,Orioles,4
Red,Sox,2,Yankees,3
Red,Sox,6,Yankees,5
Red,Sox,5,Yankees,6
Red,Sox,7,Yankees,4
Red,Sox,2,Twins,8
Red,Sox,10,Yankees,4
Red,Sox,6,Yankees,8
Red,Sox,2,Yankees,4
Red,Sox,4,Yankees,3
Red,Sox,13,Rockies,1
Red,Sox,12,Indians,2
Red,Sox,5,Yankees,2
Red,Sox,8,Yankees,7
Red,Sox,4,Yankees,14
Red,Sox,3,Mets,5
Red,Sox,8,Yankees,5
Red,Sox,5,Yankees,13
Red,Sox,8,Yankees,4
Red,Sox,4,Rays,13
Red,Sox,2,Yankees,6
Red,Sox,5,Yankees,4
Red,Sox,5,Yankees,1
Red,Sox,1,Yankees,2
Red,Sox,4,Yankees,9
Red,Sox,6,Angels,7
Red,Sox,4,Yankees,1
Red,Sox,4,Orioles,6
Red,Sox,9,Yankees,5
Red,Sox,9,Yankees,6
Red,Sox,6,Yankees,8
Red,Sox,7,Yankees,4
Red,Sox,4,Yankees,3
Red,Sox,6,Yankees,3
Red,Sox,7,Yankees,0
Red,Sox,8,Rays,9
Red,Sox,3,Yankees,13
Red,Sox,1,Yankees,4
Red,Sox,4,Tigers,3
Red,Sox,2,Yankees,3
Red,Sox,1,Yankees,2
Red,Sox,1,Yankees,4
Red,Sox,8,Yankees,0
Red,Sox,2,Yankees,3
Red,Sox,3,Tigers,7
Red,Sox,7,Yankees,5
Red,Sox,4,Yankees,0
Red,Sox,4,Yankees,6
Red,Sox,2,Rockies,1
Red,Sox,3,Indians,7
Red,Sox,2,Yankees,6
Red,Sox,7,Yankees,4
Red,Sox,8,Yankees,6
Red,Sox,1,Yankees,9
Red,Sox,4,Yankees,8
Red,Sox,10,Yankees,1
Red,Sox,7,Yankees,3
Red,Sox,1,Yankees,4
Red,Sox,2,Yankees,1
Red,Sox,5,Yankees,1
Red,Sox,1,Athletics,5
Red,Sox,8,Rays,7
Red,Sox,3,Yankees,10
Red,Sox,4,Yankees,5
Red,Sox,2,Yankees,8
Red,Sox,5,Yankees,1
Red,Sox,5,Yankees,3
Red,Sox,7,Angels,5
Red,Sox,0,Yankees,1
Red,Sox,5,Tigers,0
Red,Sox,4,Yankees,3
Red,Sox,3,Yankees,4
Red,Sox,3,Yankees,10
